NDB_No	Nutr_No	Flav_Val
1043	751	0
1043	752	0
1043	753	0
1043	755	0
1043	756	0
1043	758	0
1043	759	0
1043	762	0
1043	770	0
1043	773	0
1043	785	0
1043	786	0
1043	788	0
1043	789	0
1043	791	0
1043	792	0
1043	793	0
1043	794	0
1044	710	0
1044	711	0
1044	712	0
1044	731	0
1044	740	0
1044	741	0
1044	742	0
1044	743	0
1044	745	0
1044	749	0
1044	750	0
1044	751	0
1044	752	0
1044	753	0
1044	755	0
1044	756	0
1044	758	0
1044	759	0
1044	762	0
1044	770	0
1044	773	0
1044	785	0
1044	786	0
1044	788	0
1044	789	0
1044	791	0
1044	792	0
1044	793	0
1044	794	0
1046	710	0
1046	711	0
1046	712	0
1046	731	0
1046	740	0
1046	741	0
1046	742	0
1046	743	0
1046	745	0
1046	749	0
1046	750	0
1046	751	0
1046	752	0
1046	753	0
1046	755	0
1046	756	0
1046	758	0
1046	759	0
1046	762	0
1046	770	0
1046	773	0
1046	785	0
1046	786	0
1046	788	0
1046	789	0
1046	791	0
1046	792	0
1046	793	0
1046	794	0
1048	710	0
1048	711	0
1048	712	0
1048	731	0
1048	740	0
1048	741	0
1048	742	0
1048	743	0
1048	745	0
1048	749	0
1048	750	0
1048	751	0
1048	752	0
1048	753	0
1048	755	0
1048	756	0
1048	758	0
1048	759	0
1048	762	0
1048	770	0
1048	773	0
1048	785	0
1048	786	0
1048	788	0
1048	789	0
1048	791	0
1048	792	0
1048	793	0
1048	794	0
1049	710	0
1049	711	0
1049	712	0
1049	731	0
1049	740	0
1049	741	0
1049	742	0
1049	743	0
1049	745	0
1049	749	0
1049	750	0
1049	751	0
1049	752	0
1049	753	0
1049	755	0
1049	756	0
1049	758	0
1049	759	0
1049	762	0
1049	770	0
1049	773	0
1049	785	0
1049	786	0
1049	788	0
1049	789	0
1049	791	0
1049	792	0
1049	793	0
1049	794	0
1050	710	0
1050	711	0
1050	712	0
1050	731	0
1050	740	0
1050	741	0
1050	742	0
1050	743	0
1050	745	0
1050	749	0
1050	750	0
1050	751	0
1050	752	0
1050	753	0
1050	755	0
1050	756	0
1050	758	0
1050	759	0
1050	762	0
1050	770	0
1050	773	0
1050	785	0
1050	786	0
1050	788	0
1050	789	0
1050	791	0
1050	792	0
1050	793	0
1050	794	0
1052	710	0
1052	711	0
1052	712	0
1052	731	0
1052	740	0
1052	741	0
1052	742	0
1052	743	0
1052	745	0
1052	749	0
1052	750	0
1052	751	0
1052	752	0
1052	753	0
1052	755	0
1052	756	0
1052	758	0
1052	759	0
1052	762	0
1052	770	0
1052	773	0
1052	785	0
1052	786	0
1052	788	0
1052	789	0
1052	791	0
1052	792	0
1052	793	0
1052	794	0
1053	710	0
1053	711	0
1053	712	0
1053	731	0
1053	740	0
1053	741	0
1053	742	0
1053	743	0
1053	745	0
1053	749	0
1053	750	0
1053	751	0
1053	752	0
1053	753	0
1053	755	0
1053	756	0
1053	758	0
1053	759	0
1053	762	0
1053	770	0
1053	773	0
1053	785	0
1053	786	0
1053	788	0
1053	789	0
1053	791	0
1053	792	0
1053	793	0
1053	794	0
1054	710	0
1054	711	0
1054	712	0
1054	731	0
1054	740	0
1054	741	0
1054	742	0
1054	743	0
1054	745	0
1054	749	0
1054	750	0
1054	751	0
1054	752	0
1054	753	0
1054	755	0
1054	756	0
1054	758	0
1054	759	0
1054	762	0
1054	770	0
1054	773	0
1054	785	0
1054	786	0
1054	788	0
1054	789	0
1054	791	0
1054	792	0
1054	793	0
1054	794	0
1055	710	0
1055	711	0
1055	712	0
1055	731	0
1055	740	0
1055	741	0
1055	742	0
1055	743	0
1055	745	0
1055	749	0
1055	750	0
1055	751	0
1055	752	0
1055	753	0
18347	755	0
18347	756	0
18347	758	0
18347	759	0
18347	762	0
18347	770	0
18347	773	0
18347	785	0
18347	786	0
18347	788	0
18347	789	0
18347	791	0
18347	792	0
18347	793	0
18347	794	0
18348	710	0
18348	711	0
18348	712	0
18348	731	0
18348	740	0
18348	741	0
18348	742	0
18348	743	0
18348	745	0
18348	749	0
18348	750	0
18348	751	0
18348	752	0
18348	753	0
18348	755	0
18348	756	0
18348	758	0
18348	759	0
18348	762	0
18348	770	0
18348	773	0
18348	785	0
18348	786	0
18348	788	0
18348	789	0
18348	791	0
18348	792	0
18348	793	0
18348	794	0
18349	710	0
18349	711	0
18349	712	0
18349	731	0
18349	740	0
18349	741	0
18349	742	0
18349	743	0
18349	745	0
18349	749	0
18349	750	0
18349	751	0
18349	752	0
18349	753	0
18349	755	0
18349	756	0
18349	758	0
18349	759	0
18349	762	0
18349	770	0
18349	773	0
18349	785	0
18349	786	0
18349	788	0
18349	789	0
18349	791	0
18349	792	0
18349	793	0
18349	794	0
18350	710	0
18350	711	0
18350	712	0
18350	731	0
18350	740	0
18350	741	0
18350	742	0
18350	743	0
18350	745	0
18350	749	0
18350	750	0
18350	751	0
18350	752	0
18350	753	0
18350	755	0
18350	756	0
18350	758	0
18350	759	0
18350	762	0
18350	770	0
18350	773	0
18350	785	0
18350	786	0
18350	788	0
18350	789	0
18350	791	0
18350	792	0
18350	793	0
18350	794	0
18351	710	0
18351	711	0
18351	712	0
18351	731	0
18351	740	0
18351	741	0
18351	742	0
18351	743	0
18351	745	0
18351	749	0
18351	750	0
18351	751	0
18351	752	0
18351	753	0
18351	755	0
18351	756	0
18351	758	0
18351	759	0
18351	762	0
18351	770	0
18351	773	0
18351	785	0
18351	786	0
18351	788	0
18351	789	0
18351	791	0
18351	792	0
18351	793	0
18351	794	0
18352	710	0
18352	711	0
18352	712	0
18352	731	0
18352	740	0
18352	741	0
18352	742	0
18352	743	0
18352	745	0
18352	749	0
18352	750	0
18352	751	0
18352	752	0
18352	753	0
18352	755	0
18352	756	0
18352	758	0
18352	759	0
18352	762	0
18352	770	0
18352	773	0
18352	785	0
18352	786	0
18352	788	0
18352	789	0
18352	791	0
18352	792	0
18352	793	0
18352	794	0
18353	710	0
18353	711	0
18353	712	0
18353	731	0
18353	740	0
18353	741	0
18353	742	0
18353	743	0
18353	745	0
18353	749	0
18353	750	0
18353	751	0
18353	752	0
18353	753	0
18353	755	0
18353	756	0
18353	758	0
18353	759	0
18353	762	0
18353	770	0
18353	773	0
18353	785	0
18353	786	0
18353	788	0
18353	789	0
18353	791	0
18353	792	0
18353	793	0
18353	794	0
18354	710	0
18354	711	0
18354	712	0
18354	731	0.62
18354	740	0
18354	741	0
18354	742	0
18354	743	0
18354	745	0.01
18354	749	0.51
18354	750	0.1
18354	751	2.98
18354	752	0
18354	753	0.08
18354	755	0
18354	756	0
18354	758	0
18354	759	0
18354	762	0
18354	770	0
18354	773	0
18354	785	0
18354	786	0.05
18354	788	0
18354	789	1.59
18354	791	0
18354	792	0
18354	793	0
18354	794	0
18356	710	0.7
18356	711	0.65
18356	712	0.1
18356	731	0
18356	740	0
18356	741	0
18356	742	0
18356	743	0
18356	745	0
18356	749	0.03
18356	750	0
18356	751	0.01
18356	752	0
18356	753	0
18356	755	0
18356	756	0
18356	758	0
18356	759	0
18356	762	0
18356	770	0
18356	773	0
18356	785	0
18356	786	0
18356	788	0
18356	789	0.02
18356	791	0
18356	792	0
18356	793	0
18356	794	0
18360	710	0
18360	711	0
18360	712	0
18360	731	0
18360	740	0
18360	741	0
18360	742	0
18360	743	0
18360	745	0
18360	749	0
18360	750	0
18360	751	0
18360	752	0
18360	753	0
18360	755	0
18360	756	0
18360	758	0
18360	759	0
18360	762	0
18360	770	0
18360	773	0
18360	785	0
18360	786	0
18360	788	0
18360	789	0
18360	791	0
18360	792	0
18360	793	0
18360	794	0
18362	710	0
18362	711	0
18362	712	0
18362	731	0.42
18362	740	1.58
18362	741	1.77
18362	742	3.38
18362	743	0
18362	745	1.01
18362	749	0.26
18362	750	0.03
18362	751	0.03
18362	752	0
18362	753	0
18362	755	0
18362	756	0
18362	758	0
18362	759	0
18362	762	0
18362	770	0
18362	773	0.01
18362	785	0
18362	786	0.08
18362	788	0.06
18362	789	0.38
18362	791	0
18362	792	0
18362	793	0
18362	794	0.01
18363	710	0
18363	711	0
18363	712	0
18363	731	0
18363	740	0
18363	741	0
18363	742	0
18363	743	0
18363	745	0
18363	749	0
18363	750	0
18363	751	0
18363	752	0
18363	753	0
18363	755	0
18363	756	0
18363	758	0
18363	759	0
18363	762	0
18363	770	0
18363	773	0
18363	785	0
18363	786	0
18363	788	0
18363	789	0
18363	791	0
18363	792	0
18363	793	0
18363	794	0
18364	710	0
18364	711	0
18364	712	0
18364	731	0
18364	740	0
18364	741	0
18364	742	0
18364	743	0
18364	745	0
18364	749	0
18364	750	0
18364	751	0
18364	752	0
18364	753	0
18364	755	0
18364	756	0
18364	758	0
18364	759	0
18364	762	0
18364	770	0
18364	773	0
